timestamp,symbol,strategy,side,entry,sl,tp,exit,pnl
1748466000000,BTCUSDT,momentum,SELL,107446.8,106763.86285714286,108585.02857142857,106763.86285714286,682.9371428571467
1748469600000,BTCUSDT,momentum,SELL,107347.9,106655.92,108501.2,106655.92,691.9799999999959
1748473200000,BTCUSDT,momentum,SELL,107723.1,107047.82571428572,108848.55714285714,107047.82571428572,675.2742857142875
1748476800000,BTCUSDT,momentum,BUY,108235.8,107554.76571428572,109370.85714285714,107554.76571428572,-681.0342857142823
1748480400000,BTCUSDT,momentum,BUY,108103.4,107409.36285714286,109260.12857142856,108712.7,609.3000000000029
1748484000000,BTCUSDT,momentum,BUY,108383.1,107663.14285714287,109583.02857142857,107663.14285714287,-719.9571428571362
1748487600000,BTCUSDT,momentum,BUY,107996.4,107250.87428571428,109238.94285714286,108388.9,392.5
1748491200000,BTCUSDT,momentum,BUY,107516.2,106819.54857142858,108677.28571428571,108677.28571428571,1161.085714285713
1748494800000,BTCUSDT,momentum,BUY,107631.6,106902.06,108847.50000000001,107571.1,-60.5
1748498400000,BTCUSDT,momentum,BUY,107874.6,107173.71428571429,109042.74285714286,107173.71428571429,-700.885714285716
1748502000000,BTCUSDT,momentum,BUY,107839.4,107140.40857142856,109004.3857142857,107140.40857142856,-698.9914285714331
1748505600000,BTCUSDT,momentum,BUY,108434.3,107753.55714285714,109568.87142857142,107753.55714285714,-680.7428571428609
1748509200000,BTCUSDT,momentum,BUY,108472.3,107753.75714285715,109669.87142857142,107753.75714285715,-718.5428571428492
1748512800000,BTCUSDT,momentum,BUY,108712.7,108037.7,109837.7,108037.7,-675.0
1748516400000,BTCUSDT,momentum,BUY,108740.0,108079.52857142857,109840.78571428571,108079.52857142857,-660.471428571429
1748516400000,BTCUSDT,breakout,BUY,108740.0,107639.21428571429,110941.57142857142,107639.21428571429,-1100.7857142857101
1748520000000,BTCUSDT,momentum,BUY,108388.9,107742.03142857143,109467.01428571428,107742.03142857143,-646.8685714285675
1748523600000,BTCUSDT,momentum,BUY,107569.1,106912.49428571429,108663.44285714286,106912.49428571429,-656.6057142857171
1748527200000,BTCUSDT,momentum,BUY,107571.1,106869.85428571429,108739.84285714287,106869.85428571429,-701.2457142857165
1748530800000,BTCUSDT,momentum,SELL,106972.5,106228.35428571429,108212.74285714286,106228.35428571429,744.1457142857107
1748534400000,BTCUSDT,momentum,SELL,106691.1,105924.93428571429,107968.04285714286,105924.93428571429,766.1657142857148
1748538000000,BTCUSDT,momentum,SELL,106254.8,105487.60571428572,107533.45714285715,105487.60571428572,767.1942857142858
1748541600000,BTCUSDT,momentum,SELL,105787.9,104993.72285714286,107111.52857142857,104993.72285714286,794.1771428571374
1748541600000,BTCUSDT,breakout,SELL,105787.9,104464.27142857142,108435.15714285713,104464.27142857142,1323.6285714285768
1748545200000,BTCUSDT,momentum,SELL,105699.2,104934.05428571429,106974.44285714286,104934.05428571429,765.1457142857107
1748548800000,BTCUSDT,momentum,SELL,106134.1,105356.19142857143,107430.6142857143,105356.19142857143,777.9085714285757
1748552400000,BTCUSDT,momentum,SELL,106397.8,105605.93714285715,107717.57142857143,105605.93714285715,791.8628571428562
1748556000000,BTCUSDT,momentum,SELL,105886.3,105086.15714285715,107219.87142857144,105086.15714285715,800.1428571428551
1748559600000,BTCUSDT,momentum,SELL,105539.9,104769.62857142856,106823.6857142857,104769.62857142856,770.2714285714319
1748563200000,BTCUSDT,momentum,SELL,104900.3,104075.96,106274.20000000001,104075.96,824.3399999999965
1748566800000,BTCUSDT,momentum,SELL,105621.9,104696.6057142857,107164.05714285714,104696.6057142857,925.2942857142916
1748566800000,BTCUSDT,breakout,SELL,105621.9,104079.74285714285,108706.21428571428,104079.74285714285,1542.1571428571478
1748570400000,BTCUSDT,momentum,SELL,105952.3,104962.76285714286,107601.52857142857,104962.76285714286,989.537142857138
1748574000000,BTCUSDT,momentum,SELL,105978.8,104983.38285714286,107637.82857142857,104983.38285714286,995.4171428571426
1748577600000,BTCUSDT,momentum,BUY,106065.0,105146.70857142856,107595.48571428572,105146.70857142856,-918.291428571436
1748581200000,BTCUSDT,momentum,BUY,106027.9,105208.2657142857,107393.95714285714,105208.2657142857,-819.6342857142881
1748584800000,BTCUSDT,momentum,SELL,105671.5,104895.22857142857,106965.28571428571,104895.22857142857,776.2714285714319
1748588400000,BTCUSDT,momentum,SELL,104997.5,104218.69142857143,106295.5142857143,104218.69142857143,778.8085714285698
1748592000000,BTCUSDT,momentum,SELL,105129.6,104322.53142857143,106474.71428571429,104322.53142857143,807.0685714285792
1748595600000,BTCUSDT,momentum,SELL,105580.8,104801.22857142857,106880.08571428571,104801.22857142857,779.5714285714348
1748599200000,BTCUSDT,momentum,BUY,105863.4,105032.71714285713,107247.87142857142,105032.71714285713,-830.6828571428632
1748602800000,BTCUSDT,momentum,BUY,105827.4,104982.91714285714,107234.87142857142,104982.91714285714,-844.4828571428516
1748606400000,BTCUSDT,momentum,SELL,105630.8,104792.0942857143,107028.64285714286,104792.0942857143,838.7057142857084
1748610000000,BTCUSDT,momentum,SELL,105450.8,104585.80571428571,106892.45714285715,104585.80571428571,864.9942857142887
1748613600000,BTCUSDT,momentum,SELL,105307.2,104473.50857142857,106696.68571428572,104473.50857142857,833.6914285714302
1748617200000,BTCUSDT,momentum,SELL,105504.0,104743.86857142857,106770.88571428572,104743.86857142857,760.1314285714325
1748620800000,BTCUSDT,momentum,SELL,103867.4,103146.33714285714,105069.17142857143,103146.33714285714,721.0628571428533
1748624400000,BTCUSDT,momentum,SELL,104146.0,103309.02571428572,105540.95714285715,103309.02571428572,836.9742857142846
1748624400000,BTCUSDT,breakout,SELL,104146.0,102751.04285714285,106935.91428571429,102751.04285714285,1394.9571428571508
1748628000000,BTCUSDT,momentum,SELL,104858.9,104006.55714285713,106279.47142857143,104006.55714285713,852.3428571428667
1748631600000,BTCUSDT,momentum,SELL,104597.6,103692.8,106105.6,103692.8,904.8000000000029
1748635200000,BTCUSDT,momentum,SELL,104544.9,103621.02857142856,106084.68571428572,103621.02857142856,923.8714285714377
1748638800000,BTCUSDT,momentum,SELL,104587.1,103677.62857142858,106102.88571428573,103677.62857142858,909.471428571429
1748642400000,BTCUSDT,momentum,SELL,103920.1,103074.32285714286,105329.72857142858,103074.32285714286,845.7771428571432
1748646000000,BTCUSDT,momentum,SELL,103950.0,103075.93714285715,105406.77142857143,103075.93714285715,874.0628571428533
1748649600000,BTCUSDT,momentum,SELL,103923.7,103083.64857142857,105323.78571428571,103083.64857142857,840.0514285714307
1748653200000,BTCUSDT,momentum,SELL,103426.5,102576.66857142857,104842.88571428572,102576.66857142857,849.8314285714296
1748656800000,BTCUSDT,momentum,SELL,103150.1,102246.68000000001,104655.8,102246.68000000001,903.4199999999983
1748656800000,BTCUSDT,breakout,SELL,103150.1,101644.40000000001,106161.5,101644.40000000001,1505.699999999997
1748660400000,BTCUSDT,momentum,SELL,103640.1,102744.52285714286,105132.72857142857,102744.52285714286,895.5771428571461
1748664000000,BTCUSDT,momentum,SELL,103761.6,102865.29428571429,105255.44285714286,102865.29428571429,896.3057142857142
1748667600000,BTCUSDT,momentum,SELL,103485.9,102628.14857142857,104915.4857142857,102628.14857142857,857.7514285714278
1748671200000,BTCUSDT,momentum,SELL,103807.3,102960.61428571428,105218.44285714286,102960.61428571428,846.6857142857189
1748674800000,BTCUSDT,momentum,SELL,103700.6,102982.56285714287,104897.32857142857,102982.56285714287,718.037142857138
1748678400000,BTCUSDT,momentum,SELL,103610.6,102911.35142857143,104776.01428571428,102911.35142857143,699.2485714285722
1748682000000,BTCUSDT,momentum,SELL,103500.1,102847.56571428572,104587.65714285715,102847.56571428572,652.5342857142823
1748685600000,BTCUSDT,momentum,SELL,103372.3,102741.63142857143,104423.41428571429,102741.63142857143,630.6685714285704
1748689200000,BTCUSDT,momentum,SELL,103460.9,102841.61428571428,104493.04285714285,102841.61428571428,619.2857142857101
1748692800000,BTCUSDT,momentum,BUY,103984.2,103377.22285714286,104995.82857142856,104817.3,833.1000000000058
1748696400000,BTCUSDT,momentum,BUY,104060.9,103480.50285714286,105028.22857142855,104567.2,506.3000000000029
1748700000000,BTCUSDT,momentum,BUY,104513.2,103969.23142857142,105419.81428571428,104544.7,31.5
1748703600000,BTCUSDT,momentum,BUY,104497.1,103976.57428571429,105364.64285714286,104408.7,-88.40000000000873
1748707200000,BTCUSDT,momentum,BUY,104432.4,103955.45999999999,105227.29999999999,104085.2,-347.1999999999971
1748710800000,BTCUSDT,momentum,BUY,104304.2,103857.86857142857,105048.08571428571,104143.9,-160.3000000000029
1748714400000,BTCUSDT,momentum,BUY,104444.8,104021.70571428572,105149.95714285714,104336.4,-108.40000000000873
1748718000000,BTCUSDT,momentum,BUY,104653.9,104237.02857142857,105348.6857142857,104237.02857142857,-416.87142857142317
1748721600000,BTCUSDT,momentum,BUY,104728.9,104325.16,105401.79999999999,104325.16,-403.7399999999907
1748725200000,BTCUSDT,momentum,BUY,104817.3,104422.09714285715,105475.97142857143,104422.09714285715,-395.20285714285274
1748728800000,BTCUSDT,momentum,BUY,104567.2,104170.63428571429,105228.14285714286,104170.63428571429,-396.56571428570896
1748732400000,BTCUSDT,momentum,BUY,104544.7,104147.68,105206.4,104147.68,-397.0200000000041
1748736000000,BTCUSDT,momentum,BUY,104408.7,104001.54857142858,105087.28571428571,104001.54857142858,-407.151428571422
1748739600000,BTCUSDT,momentum,SELL,104085.2,103677.68,104764.4,103677.68,407.5200000000041
1748743200000,BTCUSDT,momentum,SELL,104143.9,103709.21714285713,104868.37142857142,103709.21714285713,434.6828571428632
1748746800000,BTCUSDT,momentum,SELL,104336.4,103911.23142857142,105045.01428571428,103911.23142857142,425.16857142857043
1748750400000,BTCUSDT,momentum,SELL,104587.8,104139.93428571429,105334.24285714286,104139.93428571429,447.8657142857119
1748754000000,BTCUSDT,momentum,SELL,104485.7,104046.30285714286,105218.02857142857,104046.30285714286,439.39714285713853
1748757600000,BTCUSDT,momentum,SELL,104206.8,103779.03428571428,104919.74285714286,103779.03428571428,427.7657142857206
1748761200000,BTCUSDT,momentum,SELL,104231.0,103808.45428571428,104935.24285714286,103808.45428571428,422.54571428571944
1748764800000,BTCUSDT,momentum,SELL,104342.7,103935.65999999999,105021.1,103935.65999999999,407.04000000000815
1748768400000,BTCUSDT,momentum,SELL,103888.0,103488.94857142857,104553.08571428571,103488.94857142857,399.05142857143073
1748772000000,BTCUSDT,momentum,SELL,103887.8,103450.07428571429,104617.34285714287,103450.07428571429,437.72571428571246
1748775600000,BTCUSDT,momentum,SELL,104038.0,103601.23428571428,104765.94285714286,103601.23428571428,436.7657142857206
1748779200000,BTCUSDT,momentum,SELL,103917.1,103475.47428571428,104653.14285714287,103475.47428571428,441.6257142857212
1748782800000,BTCUSDT,momentum,SELL,104216.0,103763.55714285714,104970.07142857143,103763.55714285714,452.442857142858
1748786400000,BTCUSDT,momentum,SELL,104551.6,104089.47142857143,105321.8142857143,104089.47142857143,462.12857142857683
1748790000000,BTCUSDT,momentum,BUY,104664.0,104185.32857142857,105461.78571428572,105461.78571428572,797.7857142857247
1748793600000,BTCUSDT,momentum,BUY,104984.4,104525.89714285714,105748.57142857142,105327.6,343.20000000001164
1748797200000,BTCUSDT,momentum,BUY,105006.3,104526.08571428571,105806.65714285715,104986.9,-19.40000000000873
1748797200000,BTCUSDT,breakout,BUY,105006.3,104205.94285714286,106607.0142857143,104986.9,-19.40000000000873
1748800800000,BTCUSDT,momentum,BUY,104850.8,104394.47428571428,105611.34285714287,104781.8,-69.0
1748804400000,BTCUSDT,momentum,BUY,105075.2,104589.06285714285,105885.42857142857,104736.3,-338.8999999999942
1748808000000,BTCUSDT,momentum,BUY,104897.0,104404.28857142857,105718.18571428572,104781.2,-115.80000000000291
1748811600000,BTCUSDT,momentum,BUY,105444.9,104945.4,106277.4,104945.4,-499.5
1748815200000,BTCUSDT,momentum,BUY,105455.4,104918.61428571428,106350.04285714285,104918.61428571428,-536.7857142857101
1748818800000,BTCUSDT,momentum,BUY,105583.3,105033.23714285715,106500.07142857143,105033.23714285715,-550.0628571428533
1748822400000,BTCUSDT,momentum,BUY,105379.1,104853.30285714286,106255.42857142858,104853.30285714286,-525.7971428571473
1748826000000,BTCUSDT,momentum,BUY,105327.6,104795.06571428572,106215.15714285715,104795.06571428572,-532.5342857142823
1748829600000,BTCUSDT,momentum,BUY,104986.9,104453.79142857142,105875.41428571429,104453.79142857142,-533.1085714285728
1748833200000,BTCUSDT,momentum,SELL,104781.8,104250.86857142857,105666.68571428572,104250.86857142857,530.9314285714354
1748836800000,BTCUSDT,momentum,SELL,104736.3,104204.78571428571,105622.15714285715,104204.78571428571,531.5142857142928
1748840400000,BTCUSDT,momentum,SELL,104781.2,104267.38571428572,105637.55714285714,104267.38571428572,513.8142857142811
1748844000000,BTCUSDT,momentum,SELL,105133.5,104618.95714285715,105991.07142857142,104618.95714285715,514.5428571428492
1748847600000,BTCUSDT,momentum,SELL,105346.4,104843.22285714286,106185.02857142856,104843.22285714286,503.17714285713737
1748851200000,BTCUSDT,momentum,SELL,105290.0,104781.77428571429,106137.04285714285,104781.77428571429,508.22571428571246
1748854800000,BTCUSDT,momentum,SELL,104530.5,104024.36571428571,105374.05714285714,104024.36571428571,506.1342857142881
1748858400000,BTCUSDT,momentum,SELL,104316.7,103766.44857142857,105233.78571428571,103766.44857142857,550.2514285714278
1748862000000,BTCUSDT,momentum,SELL,104000.0,103449.53428571428,104917.44285714286,103449.53428571428,550.4657142857177
