timestamp,symbol,open,high,low,close,volume,ema,rsi,atr,bb_upper,bb_lower,market_state,strategy,signal,result
2024-01-04T12:00:00,BTC/USDC,43272.9,43456.0,42980.1,43331.8,0.069,43331.8,50.0,0.0,43331.8,43331.8,,,,
2024-01-04T13:00:00,BTC/USDC,43348.9,43567.0,43285.2,43489.3,5.244,43489.3,50.0,0.0,43489.3,43489.3,,,,
2024-01-04T14:00:00,BTC/USDC,43489.3,43675.8,43391.7,43640.3,4.677,43640.3,50.0,0.0,43640.3,43640.3,,,,
2024-01-04T15:00:00,BTC/USDC,43640.3,44287.2,43503.7,44143.1,29.833,44143.1,50.0,0.0,44143.1,44143.1,,,,
2024-01-04T16:00:00,BTC/USDC,44143.1,44198.3,43946.4,44053.1,16.757,44053.1,50.0,0.0,44053.1,44053.1,,,,
2024-01-04T17:00:00,BTC/USDC,43999.3,44408.7,43942.8,44099.3,29.572,44099.3,50.0,0.0,44099.3,44099.3,,,,
2024-01-04T18:00:00,BTC/USDC,44099.5,44162.2,43997.3,44162.2,7.386,44162.2,50.0,0.0,44162.2,44162.2,,,,
2024-01-04T19:00:00,BTC/USDC,44122.6,44438.3,44051.3,44073.5,29.344,44073.5,50.0,0.0,44073.5,44073.5,,,,
2024-01-04T20:00:00,BTC/USDC,44099.9,44618.9,43941.5,44232.5,77.247,44232.5,50.0,0.0,44232.5,44232.5,,,,
2024-01-04T21:00:00,BTC/USDC,44232.6,44518.4,44232.5,44451.8,42.629,44451.8,50.0,0.0,44451.8,44451.8,,,,
2024-01-04T22:00:00,BTC/USDC,44451.8,44756.7,44262.8,44365.1,103.065,44365.1,50.0,0.0,44365.1,44365.1,,,,
2024-01-04T23:00:00,BTC/USDC,44373.3,44373.3,44152.3,44171.9,32.796,44171.9,50.0,0.0,44171.9,44171.9,,,,
2024-01-05T00:00:00,BTC/USDC,44206.0,44262.6,44059.5,44234.8,63.355,44234.8,50.0,0.0,44234.8,44234.8,,,,
2024-01-05T01:00:00,BTC/USDC,44234.8,44279.8,43006.4,43414.4,243.656,43414.4,50.0,0.0,43414.4,43414.4,,,,
2024-01-05T02:00:00,BTC/USDC,43383.6,43909.5,43358.2,43560.0,240.263,43560.0,50.0,0.0,43560.0,43560.0,,,,
2024-01-05T03:00:00,BTC/USDC,43564.3,43762.8,43473.5,43506.2,50.514,43506.2,50.0,0.0,43506.2,43506.2,,,,
2024-01-05T04:00:00,BTC/USDC,43502.9,43623.6,43306.5,43601.9,84.193,43601.9,50.0,0.0,43601.9,43601.9,,,,
2024-01-05T05:00:00,BTC/USDC,43573.6,43710.3,43564.8,43662.1,60.652,43662.1,50.0,0.0,43662.1,43662.1,,,,
2024-01-05T06:00:00,BTC/USDC,43662.9,43909.5,43630.5,43868.5,86.222,43868.5,50.0,0.0,43868.5,43868.5,,,,
2024-01-05T07:00:00,BTC/USDC,43867.9,43922.9,43771.9,43802.1,71.261,43802.1,50.0,0.0,43802.1,43802.1,sideways,ReversalStrategy,,
2024-01-05T08:00:00,BTC/USDC,43817.9,43946.3,43811.1,43933.7,69.465,43933.7,50.0,0.0,43933.7,43933.7,sideways,ReversalStrategy,,
2024-01-05T09:00:00,BTC/USDC,43934.4,44360.4,43934.4,44156.1,167.432,44156.1,50.0,0.0,44156.1,44156.1,sideways,ReversalStrategy,,
2024-01-05T10:00:00,BTC/USDC,44164.7,44169.2,43591.6,43635.5,144.587,43635.5,50.0,0.0,43635.5,43635.5,sideways,ReversalStrategy,,
2024-01-05T11:00:00,BTC/USDC,43640.9,43913.0,43617.1,43778.6,169.56,43778.6,50.0,0.0,43778.6,43778.6,sideways,ReversalStrategy,,
2024-01-05T12:00:00,BTC/USDC,43778.7,44118.4,43656.2,43892.8,188.159,43892.8,50.0,0.0,43892.8,43892.8,sideways,ReversalStrategy,,
2024-01-05T13:00:00,BTC/USDC,43896.0,44091.0,43748.0,44009.0,144.53,44009.0,50.0,0.0,44009.0,44009.0,sideways,ReversalStrategy,,
2024-01-05T14:00:00,BTC/USDC,43994.4,44068.8,43177.5,43480.4,297.776,43480.4,50.0,0.0,43480.4,43480.4,sideways,ReversalStrategy,,
